"Geography","CancerDeaths","medIncome","popEst2015","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","PctUnemployed16_Over","BirthRate"
"West Baton Rouge Parish, Louisiana",182.8,51550,25490,20.5,35.4,2.61,47.1,6.5,5.538105472
"Tillamook County, Oregon",165.1,41662,25653,17.5,48,2.45,52.2,7.8,5.352172982
"Pershing County, Nevada",121.8,52001,6634,18.5,41.3,2.29,44.8,9.5,14.62113127
"Cheyenne County, Kansas",150,41797,2679,11.5,49.6,2.09,61.8,1.9,10.77586207
"Mariposa County, California",147.6,47781,17531,16.2,50.6,2.29,58.2,11.6,9.589041096
"Niobrara County, Wyoming",180.6,45251,2542,14.7,43,2.15,55.4,1.6,6.042296073
"Montgomery County, Maryland",120.1,97279,1040116,7.2,38.5,2.76,53.2,6.1,5.281994667
"Geary County, Kansas",213.6,41193,37030,13.9,26.2,2.83,59.5,9.2,8.981723238
"Maries County, Missouri",187.4,40165,8963,16.1,44.2,2.44,54.8,10,7.791479821
"Bulloch County, Georgia",184.2,36315,72651,31.4,26.3,2.54,38.1,9.1,3.911889349
"Forest County, Pennsylvania",206.5,37794,7410,21.9,43.3,1.86,33.3,4.8,1.652892562
"Tioga County, New York",160.5,52195,49453,11.4,43.6,2.5,55.2,6.9,6.184505988
"Johnson County, Arkansas",176.9,34923,26141,19.7,38.1,2.5,54.6,6.2,8.562113933
"Boone County, Missouri",166.2,50305,174974,19.5,30.1,2.41,43.8,5,5.073280722
"Kewaunee County, Wisconsin",126.7,56160,20366,8.9,43.5,2.49,57.7,4.7,4.802328402
"Osage County, Missouri",161.3,51958,13628,10.2,39.8,2.62,58.1,2.9,3.887915937
"Crawford County, Georgia",197.9,43111,12388,19.9,43.5,2.72,48.8,11,2.190865206
"Linn County, Kansas",219.4,44520,9536,14.8,43.7,2.26,61.7,8.3,7.603801901
"Skamania County, Washington",188.3,52673,11339,12.6,45.2,2.49,54.4,8.3,4.805591962
"Matagorda County, Texas",166.6,41587,36770,22.1,37.2,2.7,50.4,6.4,8.922207202
"Clark County, Missouri",228.4,43298,6801,15.7,43.7,2.42,58.5,4.5,7.955390335
"Washington County, Kentucky",180.2,39983,12063,19.7,41.5,2.56,52.6,6.1,5.399151562
"Red River County, Texas",201.1,34340,12455,20.1,44.6,2.38,49.6,7.2,1.546003017
"Chase County, Kansas",177.8,47025,2679,13.2,46.2,2.34,54.4,2.9,5.031446541
"Sullivan County, Missouri",196.5,36642,6353,17.7,40.9,2.56,52.2,6,10.31227306
"Phillips County, Montana",151.2,41595,4169,15.7,47.9,2.26,60.8,6.3,9.448818898
"Arkansas County, Arkansas",201.7,36409,18433,20.4,41.4,2.39,49.8,8.3,7.128810226
"Hancock County, Tennessee",230.9,27323,6572,29.5,44.2,2.35,51.7,12.1,8.014184397
"Goshen County, Wyoming",159.5,45721,13383,14.3,42.9,2.35,52.9,6.8,7.372914241
"Lapeer County, Michigan",186.7,51510,88373,11.1,43.3,2.64,57.1,10.5,5.407671348
"Bosque County, Texas",190.7,44397,17891,15,46,2.52,57.8,7.9,3.008595989
"Aleutians West Census Area, Alaska",203.3,68387,5702,9.9,36.8,3.59,40.6,2.1,4.391052196
"Kerr County, Texas",166.3,44113,50955,17.6,47.9,2.38,50.7,8,5.271431566
"Edgefield County, South Carolina",157.8,44129,26514,17.5,42.1,2.6,45.6,8.9,3.616566206
"Abbeville County, South Carolina",183.7,35525,24932,21.4,43.3,2.52,46.8,10.7,5.823783581
"Union County, Kentucky",195.5,44119,15050,18.9,37.1,2.43,47.9,7.8,4.645550528
"Bottineau County, North Dakota",174.1,56965,6716,9.7,46,2.09,60.2,2.6,4.568106312
"Cherokee County, Iowa",135.4,52894,11574,9.6,46.6,2.14,55.2,3.7,3.505447655
"Griggs County, North Dakota",232.3,51192,2314,9.5,51.8,2.16,65.1,2,7.692307692
"Camden County, Missouri",152.7,44410,44237,17.5,49.8,2.6,57,9.1,5.73630137
"Randolph County, Illinois",178.5,47862,32852,13.8,41.7,2.49,47.1,6.7,3.100031959
"Wood County, Wisconsin",156.6,51003,73435,11.3,43.4,2.3,55.3,6.6,4.989577905
"Kalkaska County, Michigan",200.7,40709,17260,17.4,44.4,2.38,54.4,10.4,4.369071572
"Furnas County, Nebraska",145.5,44461,4862,12.7,46.8,2.11,60.2,3.4,5.315614618
"Judith Basin County, Montana",179.5,43272,1926,14.6,51.4,2.18,63.3,3.9,2.089552239
"Lawrence County, Arkansas",213.5,34916,16779,23,41.1,2.45,48.9,6.9,5.841924399
"Evangeline Parish, Louisiana",211.4,32615,33743,24.1,35.8,2.65,43.7,10.4,8.601712189
"Johnson County, Nebraska",185.6,48511,5173,13.9,42.3,2.13,48.5,3.6,4.337050805
"Douglas County, Illinois",177.5,52526,19823,10,38.3,2.58,57.7,6.1,6.28798504
"Texas County, Missouri",161.3,33755,25690,21.5,41.6,2.67,48.4,8.1,4.813502813
"Russell County, Kansas",151.9,45443,7039,13.3,47.1,2.12,58,6.9,10.703125
"Arapahoe County, Colorado",140.1,65359,631096,11.2,36.1,2.63,50.5,7.2,5.782071504
"Jackson County, Wisconsin",173,47985,20554,14,42.2,2.42,50.7,5.6,5.77755154
"Bee County, Texas",151.6,40680,32874,24.9,35.3,2.85,39.9,7,8.618283322
"Madison County, Illinois",189.2,54375,266209,13.1,39.5,2.45,50.1,8.9,5.196780531
"Santa Barbara County, California",142.3,62116,444769,17.4,33.6,2.92,44.9,8,4.603274095
"Northampton County, Virginia",227.1,36822,12155,21.5,48.3,2.26,46.4,9.5,6.455750321
"Franklin County, Mississippi",157,36544,7743,20.5,43.2,2.36,60.2,8.9,7.715311005
"Young County, Texas",191.1,41872,18270,16.4,41.9,2.54,58.1,5.6,6.038978864
"Ohio County, Indiana",195.6,51403,5938,11.1,46,2.5,54.8,7.7,4.801324503
"Livingston County, Michigan",162.7,74341,187316,6.1,42.1,2.66,58.9,5.9,4.426612689
"Ottawa County, Oklahoma",229.7,35580,31981,22.1,38.5,2.58,50.9,9.4,5.394016013
"Grundy County, Iowa",151.8,61215,12435,6.7,42.2,2.37,62.7,3.9,6.03588907
"St. Francois County, Missouri",216.8,40376,66520,20.3,38.9,2.33,48.2,8.3,4.612961296
"Thomas County, Kansas",154.5,50639,7904,11.3,35.3,2.39,55.6,2.7,5.794871795
"Sullivan County, Tennessee",187.2,38840,156791,18.5,44.3,2.32,53.9,8.2,4.794040316
"Throckmorton County, Texas",200.7,43618,1579,14.2,49.6,2.17,56.3,2.6,7.986111111
"Kossuth County, Iowa",138.4,52967,15165,9.6,46.1,2.23,60,2.1,6.930346517
"Wood County, Texas",167.6,42753,43356,15.4,48.2,2.57,55.4,8.9,6.943899568
"Webster County, West Virginia",259.5,29331,8755,26.1,46.3,2.28,54.1,14.8,4.203539823
"Yancey County, North Carolina",178.6,35974,17587,20.6,46.2,2.35,59.5,11,3.944716384
"Sussex County, New Jersey",176.4,82048,143673,6.2,43.4,2.67,55.9,8.2,4.625184917
"Shelby County, Iowa",138.5,55637,11927,9.6,46.6,2.32,57.3,2.9,3.811252269
"Madison County, Kentucky",205,44358,87824,19.7,33.9,2.49,44.8,8.6,4.761498421
"Fayette County, Iowa",151.3,45522,20257,14.4,43.1,2.31,52.7,5.1,7.378451014
"Pacific County, Washington",183.6,40189,20848,17.8,51.7,2.24,52.7,8.9,5.889178996
"Bureau County, Illinois",172.2,52138,33587,13.1,43.4,2.4,55.4,7.6,5.996296824
"Polk County, Iowa",188.7,61028,467711,13.1,35,2.5,51.1,5.8,6.46314994
"Bradley County, Tennessee",184.2,43065,104091,17.5,39.4,2.58,51.7,11.2,7.159837221
"Richmond city, Virginia",200.2,42074,220289,25,32.9,2.33,26.2,10,4.888983425
"Polk County, Texas",215.6,41401,46972,18.5,43.5,2.4,51.5,10,7.024390244
"Kandiyohi County, Minnesota",147.5,57405,42542,11.5,39.9,2.48,57.7,4.8,5.730234678
"Nome Census Area, Alaska",277.6,47160,9846,26.1,27.8,3.26,35.9,16.5,11.35038134
"Douglas County, Oregon",189.2,41504,107685,19.9,46.9,2.41,52.2,12.2,5.54304604
"Lafayette County, Mississippi",168.3,40797,53154,25.9,28.5,2.65,36.3,8.4,4.979333506
"Pembina County, North Dakota",177,56298,7091,8.9,47.2,2.14,60.2,3.5,8.209538702
"Rock County, Minnesota",147,55352,9600,9.6,41.1,2.37,61,3.7,11.04133961
"Hardin County, Iowa",169.8,53277,17367,11.7,44.7,2.37,55.2,4.9,4.732327714
"Bowie County, Texas",184.8,41883,93389,20.1,37.7,2.63,46.6,8.5,7.433542774
"Seward County, Nebraska",152.3,61802,17110,8.2,458.4,2.46,58.1,3.5,9.675645959
"Shelby County, Texas",193.9,35772,25402,22,36.9,2.72,48,7.9,9.509579891
"Hardy County, West Virginia",153,41010,13852,15.3,44.5,2.69,50.1,7.9,2.955003358
"Yamhill County, Oregon",168.6,52903,102659,15.4,38.2,2.78,51.9,9.7,4.397120317
"Livingston County, Missouri",203.2,47937,15028,16.6,42,2.39,52.9,5.1,7.023060797
"Wabaunsee County, Kansas",150.3,59160,6951,9.6,42.1,2.59,61.2,6.2,4.111600587
"Johnston County, North Carolina",184.9,50055,185660,15.3,37.4,2.85,53.5,8.9,5.25474016
"Adams County, Pennsylvania",165.3,60179,102295,10.8,42.8,2.55,55.7,5.7,4.47016211
"Mathews County, Virginia",157.1,58268,8862,10.6,51.1,2.3,63.6,3.3,1.906898486
"Harrison County, Mississippi",206.7,41010,201410,18.8,424.8,2.52,45.3,9.7,5.1314986
"Lenawee County, Michigan",177.6,48194,98573,14.5,40.9,2.46,50,8.6,4.630064868
"St. Clair County, Missouri",178.8,33986,9440,21.7,49.7,2.31,53.6,9.3,3.829787234
"Chelan County, Washington",154.7,49174,75644,14,39.3,2.7,52.3,7.5,4.217134885
"Upshur County, West Virginia",189.5,38387,24758,19.7,41.8,2.57,51.5,8,5.300938708
"Lawrence County, Alabama",193.3,41574,33115,16.6,41.7,2.46,54.4,9.8,4.830100247
"Cannon County, Tennessee",210.1,41068,13840,16.4,41.9,2.53,51.9,12.9,6.944
"Otero County, Colorado",150.9,33043,18343,26,39.7,2.42,50.6,10.7,4.346733668
"Sarpy County, Nebraska",169.9,74008,175692,5.3,33.7,2.71,59.5,4.4,7.30321114
"Pulaski County, Virginia",185.8,46186,34332,14.7,45.2,2.3,53.5,7.4,6.174957118
"Flagler County, Florida",174.6,51556,105392,11.6,49.6,0.0271,54.2,9.3,4.063558218
"Morris County, New Jersey",150.3,100511,499509,5,42,2.72,56.7,6.3,3.635690867
"Pope County, Illinois",173.5,40722,4226,19.7,47.7,2.52,47.5,10,5.562130178
"Corson County, South Dakota",195.9,31420,4197,38.6,29.8,3.37,39.9,29.4,9.343715239
"Taylor County, Iowa",181.3,46501,6205,13.1,43.7,2.23,62.3,4.4,5.024311183
"Llano County, Texas",168.7,45096,19796,14.9,56.3,2.21,59,5.8,5.130927105
"Steele County, North Dakota",117.6,59408,1956,7.1,50.2,2.09,62.2,4,7.098765432
"Knox County, Missouri",217.7,37581,3910,19.4,523.2,2.34,58.7,7.4,5.076142132
"Hubbard County, Minnesota",156,47944,20655,12.2,48,2.32,62.6,5,3.229308005
"Bennington County, Vermont",176.1,44674,36317,14.4,46.1,2.25,51.3,5.7,3.885024281
"Otter Tail County, Minnesota",156.9,51510,57716,11.2,46.7,2.34,60.2,4.4,7.511606314
"Cedar County, Nebraska",120,54421,8564,10.4,44.8,2.39,64.4,2.2,6.343283582
"Saline County, Nebraska",181.9,51805,14282,10.1,36.6,2.61,52,3.4,3.0621435
"Decatur County, Georgia",198.3,33968,27174,27.7,37.4,2.46,43.4,6.5,4.241143971
"Esmeralda County, Nevada",262.1,47180,829,14,46.5,2.35,44.3,11.9,4.326923077
"Wayne County, North Carolina",191.3,36890,124132,23.3,36.7,2.56,45.5,12.4,5.691592675
"Upshur County, Texas",186.3,46346,40603,14.6,40.5,2.85,55.3,7.9,5.176056338
"Benton County, Arkansas",166.2,57408,249672,11.9,35,2.75,59.9,4.2,5.82126689
"Blaine County, Oklahoma",180.2,44309,9833,18.4,41.1,2.25,50.8,3,2.110199297
"Washington County, Florida",209.1,36482,24687,20,40.9,2.66,46.6,11.5,5.908289242
"Broward County, Florida",157.6,51485,1896425,14.5,40,2.73,43.1,10,4.663810807
"Jefferson County, Georgia",211.2,30835,16106,26.4,38.4,0.0261,41.6,17,4.429860541
"Gallatin County, Illinois",213.6,41045,5265,17.5,45.1,2.23,55.2,7.5,5.876865672
"Brooks County, Georgia",159.3,32903,15658,28.8,496.8,2.37,46.9,17,4.200664853
"Ogle County, Illinois",168,57126,51659,11.4,498,2.5,55,8,5.772258177
"Woodbury County, Iowa",176.4,45641,102782,15.2,35.4,2.58,48.7,5.2,6.360617144
"McDowell County, West Virginia",234.8,24707,19835,34.9,44.1,2.39,46,13.3,3.860072376
"Washington County, Texas",158,55139,34765,15,42,2.68,48.3,5.1,5.054495913
"Wheeler County, Georgia",179.9,30264,7903,38.9,38.4,2.16,34.6,10,5.070993915
"George County, Mississippi",210.5,44811,23373,17,36.4,3.02,51.3,9,3.008098727
"Payne County, Oklahoma",177.4,41037,80850,23.7,27.2,2.36,41.1,6.3,5.395731735
"Iron County, Missouri",216.3,33091,10125,22.1,43.1,2.46,50.8,11.4,3.896713615
"Mills County, Iowa",194.9,59399,14844,9.7,41.9,2.63,58.6,3.8,3.293509848
"Gila County, Arizona",163.3,37677,53159,24.4,48.6,2.5,50.9,12.8,6.179351922
"Oneida County, Idaho",141,46503,4281,13.9,39,2.66,61,6.7,5.384615385
"Spokane County, Washington",171,50083,490945,16.3,37.2,2.45,49.4,8.4,5.355835918
"Wise County, Virginia",223.4,38528,39718,21.9,39.8,2.46,47.5,11,3.651138835
"Rusk County, Wisconsin",195.2,39999,14124,16.9,47.5,2.27,55.5,5.9,4.399845619
"Douglas County, Kansas",153.7,49246,118053,19.4,28.8,2.43,39.5,6,4.146877226
"Wexford County, Michigan",199.2,39807,33003,19,41.7,2.56,54.3,9.5,5.24857851
"Pierce County, Nebraska",159.5,53489,7208,10,41.3,2.4,64.3,4.7,9.160305344
"Des Moines County, Iowa",170.1,45292,40055,15.7,42.1,2.36,50.5,6.3,5.598682663
"Jones County, Mississippi",178.6,37367,68215,24.4,36.6,2.71,48,7.4,8.134642356
"Ozark County, Missouri",190.2,31025,9409,22.3,50.7,2.22,59.1,12.6,5.784615385
"Haywood County, Tennessee",183.7,35470,18023,24.7,39.9,2.57,43,10.5,4.488542405
"Rock County, Nebraska",187.3,46051,1381,15,52,1.94,59.4,1.7,3.361344538
"Bath County, Kentucky",238.5,34126,12228,22.7,40.4,2.76,51,14,4.990825688
"Morton County, Kansas",165.4,55378,3007,11.1,41.6,2.53,54.2,5.8,3.29153605
"Rowan County, Kentucky",235.2,37287,23892,23.4,32.2,2.44,41.6,6.5,4.886769964
"Sevier County, Tennessee",185.2,39905,95946,17.7,42.2,2.52,54.1,7.4,6.406013616
"Refugio County, Texas",217.1,43654,7289,16.9,42.7,2.59,51.1,6.7,8.271186441
"Chautauqua County, Kansas",194.2,39120,3402,16.4,49.1,2.21,59.8,5.1,2.613240418
"Trigg County, Kentucky",214.9,44676,14233,15.8,45.1,2.35,56.6,8.4,4.195088677
"Sedgwick County, Colorado",133.8,44562,2399,13.9,49.8,2.44,50.9,6.4,5.925925926
"Searcy County, Arkansas",219.4,31765,7869,23.3,47,2.48,57.5,5.9,4.102564103
"New Haven County, Connecticut",169,60387,859470,13,39.8,2.56,44.7,9.5,4.240824844
"Beaver County, Pennsylvania",180.2,51041,168871,11.7,44.8,2.38,51,6.8,4.491424455
"Montezuma County, Colorado",147.9,44163,26168,16.3,43.4,2.44,52.4,9.5,4.020100503
"Grand Isle County, Vermont",206.1,60081,6861,9.1,47.1,2.34,59.8,7.4,3.969883641
"De Soto Parish, Louisiana",197.8,40642,27052,23.5,39.8,2.61,46.4,9.3,5.389797883
"Lyon County, Kentucky",202,43067,8306,15.4,49,2.19,46.9,7.6,2.598366741
"Gaines County, Texas",164.8,50709,20051,14,28.9,3.35,60.6,4,6.114037096
"Newton County, Georgia",182.4,48058,105473,19.4,429.6,2.92,44.4,11.8,6.215613383
"Seneca County, Ohio",174,45003,55610,17.5,39,2.45,49.7,8.1,4.557619009
"Chester County, Tennessee",180.6,40980,17471,20.1,37.2,2.66,48.6,13.5,5.429553265
"Perry County, Arkansas",209.9,40556,10189,17.3,43.1,2.62,54.3,6.8,2.85046729
"Major County, Oklahoma",182.3,54107,7771,11.8,41.6,2.49,62.2,5.4,5.897114178
"Dickenson County, Virginia",218.9,32103,15115,21.3,43.4,2.43,55.5,8.4,6.491885144
"Henry County, Alabama",194.1,39930,17221,17.3,43,2.47,53.1,8.1,7.114728275
"Teton County, Montana",164.9,46208,6104,13.9,44.8,2.5,58.3,5.1,8.581138488
"Citrus County, Florida",184.3,36383,141058,20.1,55.4,2.25,54.6,13.1,3.923080412
"Putnam County, Missouri",205,34684,4858,18.6,46.4,2.2,55.7,2.8,14.97890295
"Chittenden County, Vermont",159,61908,161382,11,36.3,2.36,46,5,4.180500351
"Wharton County, Texas",173.1,44110,41486,16.8,37.3,2.77,49.5,6.6,5.69874932
"Greene County, Iowa",186.9,49125,9027,13.2,45.1,2.3,61,5.6,9.971346705
"Marion County, Tennessee",220.2,40766,28487,20.6,43.1,2.43,53.9,6.7,2.19816273
"Bear Lake County, Idaho",143.2,45504,5922,13.4,39.5,2.51,64.5,3.3,9.638554217
"Franklin city, Virginia",221.7,38583,8490,22.5,38,2.41,34.9,13.7,4.927099045
"Mercer County, North Dakota",151.9,74047,8853,7.3,45.6,2.31,62.8,3.2,2.630005977
"Alleghany County, Virginia",189.5,45454,15677,15.8,47.2,2.33,54.2,5.1,8.070065687
"Madison County, Missouri",225.4,35363,12408,20.4,42.3,2.63,56.3,10.2,5.739599384
"Union County, New Jersey",155.6,68172,555786,11.1,38.1,2.91,46.5,9.8,5.746896424
"Houston County, Minnesota",141.8,59900,18773,8.4,45,2.35,58.1,4.9,3.366021733
"Stevens County, Kansas",148.2,59773,5806,9.7,34.9,2.84,68,3,4.250386399
"Gregory County, South Dakota",169.4,36836,4201,18.3,47.5,2.12,57.3,2.1,10.70422535
"Putnam County, Ohio",154.6,56519,34042,7.8,39.7,2.6,63.3,3.4,6.184443536
"Humphreys County, Mississippi",220.9,25562,8669,40.3,35.3,2.91,26.8,26.8,9.134847753
"Pike County, Illinois",176,39005,15989,15.2,42.6,2.34,56.2,5.6,5.732087227
"Cook County, Minnesota",128.7,48593,5194,10.4,51.3,1.93,63.3,4,2.465166131
"Bristol County, Rhode Island",142.2,68246,49084,8,43.9,2.38,52.4,6.8,4.448655477
"Nowata County, Oklahoma",189.7,39706,10539,16.1,41.4,2.56,53.7,8.4,3.337783712
"Hopewell city, Virginia",244.9,40122,22378,19.5,36.9,2.53,35.3,12.8,5.969289827
"Dawson County, Texas",165.4,41876,13520,20.2,33.4,2.74,46.8,9.5,8.016032064
"Calhoun County, Mississippi",228.6,33141,14717,25,40.5,2.46,47.8,10.1,5.766908213
"Franklin County, Florida",216.2,36788,11761,25.3,42.1,2.24,49.8,9.4,4.934210526
"Bingham County, Idaho",155.8,47292,44990,15,32.9,3.07,58.9,7.1,7.30438263
"Ashley County, Arkansas",212.3,36176,20838,22.7,41.4,2.52,53,11.8,5.180598555
"Monroe County, Missouri",140.3,41376,8583,15.8,44.8,2.43,57,5.9,4.179104478
"Stark County, Illinois",160.4,50219,5788,11.9,45.9,2.41,57,7.7,4.589585172
"Fayette County, Indiana",222.5,40122,23434,16.4,42.2,2.5,49,12.1,2.64006449
"Mountrail County, North Dakota",196.8,66807,10331,9.3,34.8,2.83,46.1,4.7,5.573419078
"DeKalb County, Missouri",123.4,42174,12687,18.6,40.1,2.48,43.9,6.8,2.755102041
"Hot Spring County, Arkansas",200.3,37831,33426,18.7,40.9,2.59,52.7,7.6,3.906472769
"Watonwan County, Minnesota",159.7,48658,10952,10.4,39.6,2.45,55.4,2.9,3.17533364
"Franklin County, Virginia",162,47419,56264,16.3,45,2.36,58.4,6.2,5.965766068
"Cameron County, Pennsylvania",159.6,40257,4732,14.2,49.9,2.2,48.7,4.5,3.510758777
"Leon County, Florida",155.8,45463,286272,23.3,30,2.43,37.8,10.6,3.782242355
"Ross County, Ohio",203.9,42466,77170,19.2,40.6,2.52,49.2,11.3,4.967320261
"Wayne County, Georgia",205.6,41093,29534,25.5,37.3,2.77,47.6,11.3,5.499843309
"Oxford County, Maine",189,40120,57202,16.1,45.7,2.6,48.1,9.2,4.600845561
"Nantucket County, Massachusetts",146.9,82596,10925,7.1,39.5,2.62,49.2,3,4.179364388
"Lander County, Nevada",123.8,74347,5903,11,37.2,2.79,54.3,12,11.63179916
"Edmonson County, Kentucky",202.5,38544,12007,19.9,42.5,2.51,56.6,8.9,2.563121653
"Edgecombe County, North Carolina",192.1,31615,54150,25.9,39.9,2.57,39.4,15.4,5.053375317
"Mitchell County, Iowa",129.6,52616,10832,11.5,43.7,2.41,59.7,3.2,6.073648972
"Livingston County, New York",172,49920,64717,14.7,40.1,2.42,47.2,5.4,5.026285421
"Chariton County, Missouri",166.7,43049,7589,12,45.5,2.52,54.5,3.8,2.963473467
"Albany County, Wyoming",128.4,42838,37956,24,26.6,2.26,39.8,4.7,4.074920055
"Stephens County, Georgia",213.1,36870,25586,20.9,41.2,2.7,54.9,10.6,7.304204452
"James City County, Virginia",149,75926,73147,7.9,45.4,2.49,58.3,5.1,4.819607038
"Marshall County, Kentucky",185.3,45596,31101,13.1,44.9,2.43,59,7.7,4.006754682
"Cumberland County, Virginia",179.2,41409,9719,19,44.3,2.45,45.8,10.1,7.259953162
"Dallas County, Missouri",179.1,34987,16393,21.7,43,2.62,56.9,13.2,9.043326548
"Kenosha County, Wisconsin",188.1,53945,168437,15.4,37.4,2.62,47.6,9.7,4.702469467
"Drew County, Arkansas",190.6,36801,18778,24,37.5,2.43,50.7,14.3,4.350706714
"Donley County, Texas",202.7,37263,3499,19.4,42.9,2.53,46.3,3.9,0.284090909
"Clark County, South Dakota",138.4,48024,3659,13.8,44,2.21,55.6,2.8,6.386292835
"LaGrange County, Indiana",167.5,52003,38809,10.9,31.1,0.0322,60.5,5.5,9.866568735
"Glades County, Florida",135.3,38783,13670,21.1,45.3,3.04,44.3,12.9,1.600365798
"Suwannee County, Florida",198.7,38177,43760,23.7,41.6,2.69,47.7,11.1,3.38904364
"Shannon County, Missouri",210.7,27382,8258,28.2,44.5,2.5,54.6,9.2,7.147111376
"Windham County, Vermont",183.7,49616,43386,12.9,45.8,2.21,50.7,6.8,3.546703589
"Nevada County, Arkansas",210.7,30935,8558,25.1,41.8,2.48,52.5,9.5,5.091311566
"Dent County, Missouri",200.1,34411,15593,21.6,43.4,2.6,51.8,9.2,6.869058571
"Newton County, Indiana",194.1,51285,14008,11.5,43,2.56,53,8.9,5.900305188
"Erie County, Ohio",193.7,49234,75550,13.9,44,2.35,50.1,7.7,4.607982234
"Brooke County, West Virginia",186.2,43572,23350,15.1,45.9,2.26,50.3,6.4,4.970530452
"Cass County, Nebraska",193.1,66522,25512,6.9,498,2.57,62,3.8,7.938902508
"Noble County, Ohio",122.5,43953,14326,16.3,50.2,2.45,51.6,7,6.422798809
"Ritchie County, West Virginia",214.7,46383,9982,17.7,45.2,2.56,49.5,10.6,6.267539757
"Calaveras County, California",157.4,53321,44828,13.7,50.7,2.45,55.5,12.1,2.851375221
"San Luis Obispo County, California",149.4,61775,281401,14.5,39.3,2.51,48.2,6.6,4.076692166
"Jefferson County, Iowa",163,41094,17555,16.9,42.5,2.24,47.5,6.4,2.534226624
"Dade County, Georgia",238.2,42953,16264,16.4,40.7,2.47,57,6.1,3.774056486
"Wyoming County, West Virginia",235.4,34419,22151,22.8,42.8,2.48,55.7,10.1,6.018614271
"Northampton County, Pennsylvania",172.7,61510,300813,10,41.8,2.56,51.4,7.3,4.239802406
"San Benito County, California",150.4,68166,58792,14.1,35,3.33,51,12.2,6.536926148
"Adams County, Iowa",171.3,51929,3796,12.2,46.8,2.18,64.4,3.2,8.874172185
"Summit County, Utah",123.6,92560,39633,6.8,38.2,2.75,63.2,3.2,4.14207772
"Cattaraugus County, New York",167.9,43892,77922,16.2,41.4,2.41,48.7,8.2,4.82052462
"Woodward County, Oklahoma",155.7,56067,21559,12.3,36.1,2.7,52.9,5.1,3.668042182
"Philadelphia County, Pennsylvania",211.7,39037,1567442,25.8,33.7,2.59,29.3,13.9,5.282605624
"Kearney County, Nebraska",136.4,56791,6585,9.6,40.8,2.34,61.2,3.8,12.76119403
"Miami County, Indiana",183.5,41065,35862,17.1,40.1,2.6,50,9.4,5.13318535
"Gunnison County, Colorado",102.6,48940,16067,14.9,34.3,2.34,43,7.8,6.455696203
"Union County, South Dakota",166.5,72041,14909,6.3,40.8,2.48,58.9,2.9,7.245912151
"Caroline County, Maryland",185.6,49573,32579,16,40.1,2.7,50.2,8.8,5.404323459
"Phelps County, Missouri",163.8,40710,44794,21.6,34.4,2.52,47.8,7,7.510402923
"Flathead County, Montana",150.6,47351,96165,13.6,42.1,2.48,56.3,7,6.812139453
"Juniata County, Pennsylvania",162.9,48944,24737,12.3,43,2.61,56.3,5.7,5.734425605
"Lea County, New Mexico",166.2,58994,71180,16.6,31.8,3.08,53.3,5.9,7.530333184
"Charlevoix County, Michigan",167.7,47991,26238,12.6,46.7,2.39,56.1,7.8,4.386136675
"Neshoba County, Mississippi",181.3,37686,29463,20.7,35.8,2.71,45.6,9.8,8.259717314
"Red River Parish, Louisiana",172.2,33322,8593,25.3,39.8,2.54,44.2,9.2,10.40892193
"Buchanan County, Missouri",189.9,45431,89100,17.8,36.8,2.58,44.9,7.5,6.216255654
"Caledonia County, Vermont",184.3,45029,30780,13.9,43.1,2.43,49.5,7.2,3.307540586
"Bay County, Michigan",182.3,46061,105659,16.8,42.6,2.42,49.6,9.7,5.244463933
"Kent County, Rhode Island",184.1,61923,164801,9.3,43.5,2.38,49.7,8.2,5.275186191
"Caddo County, Oklahoma",211.4,39933,29343,23.5,37,2.77,48,9.5,5.189317106
"Sonoma County, California",163.1,66949,502146,11.3,40.8,2.59,47.2,8.1,5.065070552
"Hertford County, North Carolina",184.3,30056,24184,25.8,41.7,2.48,40.1,13.7,5.896994065
"Onslow County, North Carolina",179.9,47201,186311,14.3,26.1,2.75,54.5,11.6,9.215177413
"Warren County, Pennsylvania",179.3,44651,40396,14.1,46.2,2.35,54.4,6.6,5.312538077
"Madison County, Georgia",227.2,45557,28441,19.7,40.2,2.75,50.8,8.7,5.50827789
"Golden Valley County, North Dakota",205.2,53420,1845,10.7,41,2.19,55.8,1,6.534090909
"Deschutes County, Oregon",154.3,52387,175268,13.2,41.9,2.49,54.6,9.4,4.744289032
"Clark County, Wisconsin",157.6,45316,34445,16,37.1,2.65,58.2,4.8,9.86429301
"Ouachita County, Arkansas",198.5,34971,24358,23,42.7,2.34,48.2,8.3,6.041591968
"Harrison County, Ohio",201.4,42582,15450,16.9,45.9,2.45,57.8,5.6,7.156549521
"Madison County, North Carolina",143.7,38445,21139,19.9,44,2.36,54.3,7.3,4.341957255
"Washington County, Georgia",186.4,36137,20816,30.2,40,2.64,41.3,12.2,5.967408768
"Elbert County, Georgia",176.8,35351,19364,21.4,41.3,2.49,48.1,10.8,7.219802888
"Warren County, New York",177.9,54585,64688,13.3,45.2,2.4,48.4,6.6,3.57092349
"Richland County, Montana",170.1,65738,11960,8.2,38,2.51,55.9,2.5,9.156118143
"Forrest County, Mississippi",209.2,36808,75944,26.4,31.9,2.58,38.9,13.1,4.81629545
"Lynn County, Texas",154.4,41589,5724,18.3,37.4,2.62,54.7,10.9,3.301127214
